"NIT;Razon_Social;Ingresos_total;Retenciones_practicadas"
"900123456;Sistemas y Soluciones S.A.S.;3500000;0"
"900555444;Transportes Express Boyaca Ltda;1800000;72000"
"900888111;Alion Transportes S.A.S.;2150000;0"
"900888222;Holcim Colombia S.A.;1800000;0"
"900888333;Incauca S.A.;2500000;0"
"900888444;Lactalis Chia Ltda;3200000;0"
"900888555;Lactalis Medellin S.A.S.;1450000;0"
"900888666;Acerías Paz del Rio S.A.;2750000;0"
"900888777;Cemex Colombia S.A.;3500000;0"
"900888778;Cemex Ibagué S.A.;2100000;0"
"900888779;Cemex Maceo S.A.;1800000;0"
"900888780;Duitama Transportes S.A.;4200000;0"
"1049222333;Carlos Perez Ruiz;2200000;0"
"890900120;Bancolombia S.A.;3100000;0"
