Fecha,Asiento,Cuenta,Nombre_Cuenta,Tipo_Doc,NIT_Tercero,Razon_Social,Direccion,Dpto,Municipio,Debito,Credito,Concepto
2025-01-15,1001,512010,Arrendamientos Bienes Inmuebles,CC,7173846,ACUÑA DAZA DELIO,Calle 4 # 12-34,15,15001,1500000.0,0.0,Registro arrendamiento - Doc #1001
2025-01-15,1001,236530,Retencion Arrendamientos 3.5%,CC,7173846,ACUÑA DAZA DELIO,Calle 4 # 12-34,15,15001,0.0,52500.0,Retencion arrendamientos 3.5% - Doc #1001
2025-01-20,1002,512010,Arrendamientos Bienes Inmuebles,NIT,900123456,INMOBILIARIA BOYACA S.A.S.,Calle 18 # 11-05,15,15001,2000000.0,0.0,Registro arrendamiento - Doc #1002
2025-01-20,1002,236530,Retencion Arrendamientos 3.5%,NIT,900123456,INMOBILIARIA BOYACA S.A.S.,Calle 18 # 11-05,15,15001,0.0,70000.0,Retencion arrendamientos 3.5% - Doc #1002
2025-02-01,1003,512010,Arrendamientos Bienes Inmuebles,CC,74373834,ALVAREZ PINZON HERNANDO,Calle 6 # 10-45,15,15001,950000.0,0.0,Registro arrendamiento - Doc #1003
2025-02-01,1003,236530,Retencion Arrendamientos 3.5%,CC,74373834,ALVAREZ PINZON HERNANDO,Calle 6 # 10-45,15,15001,0.0,33250.0,Retencion arrendamientos 3.5% - Doc #1003
2025-02-15,1004,512010,Arrendamientos Bienes Inmuebles,CC,79799502,BECERRA CAMARGO OSCAR JAVIER,Carrera 3 # 5-12,15,15001,1200000.0,0.0,Registro arrendamiento - Doc #1004
2025-02-15,1004,236530,Retencion Arrendamientos 3.5%,CC,79799502,BECERRA CAMARGO OSCAR JAVIER,Carrera 3 # 5-12,15,15001,0.0,42000.0,Retencion arrendamientos 3.5% - Doc #1004
2025-03-01,1005,512010,Arrendamientos Bienes Inmuebles,CC,5462976,BASTO MORA LUIS ALFREDO,Calle 1 # 2-15,15,15001,1100000.0,0.0,Registro arrendamiento - Doc #1005
2025-03-01,1005,236530,Retencion Arrendamientos 3.5%,CC,5462976,BASTO MORA LUIS ALFREDO,Calle 1 # 2-15,15,15001,0.0,38500.0,Retencion arrendamientos 3.5% - Doc #1005
2025-03-15,1006,511005,Honorarios Asesoria Juridica,CC,80408400,ALARCON PLAZAS CARLOS ORLANDO,Carrera 5 # 20-10,15,15001,2500000.0,0.0,Registro honorarios - Doc #1006
